v3,1 ile 10. satır aralığı yönetici bazlı v3 performans tablosudur (Varış merkezinde 12:00 den önce karşılanan seferleri hesaplar),,,,,,,Only City,,,,,,,,Saatlik 1. slot yetişme oranları,,,,,,,,,,Saatlik 2. slot yetişme oranları,,,,,,,,,,Saatlik hesaplanan adetler,,,,,,"69,39%","97,53%",,,01:00 den 16:00 ya kadar yüklenen adetler,,,,,,,,,Günlük yetişme oranları,,,,,,
Geç,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Genel v1 performans,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,,17,18,19,20,21,22,23,0,,,17,18,19,20,21,22,23,0,,,17,18,19,20,21,22,23,0,,,%,Total Gönderi,,Gece inbound,V1,1,2,,,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
YTD,"33,08%","34,31%",2.606.695,2.703.553,7.880.065,13.142.328,,YTD,"37,48%","42,59%",2.017.469,2.292.833,5.382.925,13.186.548,,YTD,"76,84%","66,46%","69,39%","38,65%","24,50%","34,52%","14,53%","19,22%",,YTD,"8,66%","13,62%","14,84%","34,62%","41,67%","31,10%","44,98%","35,95%",,YTD,"1,42%","8,28%","10,70%","12,48%","12,33%","24,17%","28,15%","2,47%",,YTD,"9,46%",13.142.328,,0,1.243.395,"3,56%","2,42%",,YTD,"33,08%","34,31%",2.606.695,2.703.553,7.880.065,13.142.328
Ankara Kazan SC,"12,08%","32,64%",200.702,542.196,1.660.969,4.817.545,,Ankara Kazan SC,"17,25%","49,08%",183.941,523.353,1.066.315,4.823.152,,Ankara Kazan SC,"62,18%","53,81%","8,90%","6,66%","0,22%","0,02%","0,00%","0,00%",,Ankara Kazan SC,"12,59%","15,77%","34,09%","40,39%","43,49%","37,58%","31,05%","17,36%",,Ankara Kazan SC,135.074,693.203,259.738,748.283,817.939,976.461,1.044.916,141.931,,Ankara Kazan SC,,4.817.545,,,483.176,130.884,113.627,,Pazartesi,"30,01%","37,04%",561.243,692.669,1.870.215,2.876.903
Esenyurt SC ,"31,70%","38,47%",654.586,794.336,2.064.707,2.599.222,,Esenyurt SC ,"33,99%","45,69%",590.901,794.240,1.738.458,2.608.532,,Esenyurt SC ,"89,29%","76,02%","81,67%","43,05%","21,39%","4,98%","1,17%","0,00%",,Esenyurt SC ,"4,37%","13,16%","8,19%","30,89%","49,27%","55,07%","54,22%","58,76%",,Esenyurt SC ,6.799,269.745,643.593,80.047,438.820,282.859,845.639,31.720,,Esenyurt SC ,,2.599.222,,,273.166,43.367,24.758,,Salı,"28,69%","36,17%",433.342,546.334,1.510.428,2.471.797
Gebze SC,"29,20%","49,34%",609.198,1.029.405,2.086.333,2.782.279,,Gebze SC,"34,26%","54,99%",430.447,690.984,1.256.558,2.804.346,,Gebze SC,"53,02%","73,72%","63,44%","46,96%","22,70%","16,21%","9,01%","0,03%",,Gebze SC,"34,92%","13,33%","23,40%","37,95%","55,54%","60,24%","63,19%","60,69%",,Gebze SC,5.517,67.240,408.010,691.038,215.976,520.861,797.381,76.256,,Gebze SC,,2.782.279,,,268.002,49.862,31.694,,Çarşamba,"29,22%","35,79%",386.190,473.120,1.321.770,2.190.543
Bursa MH,"65,09%","9,37%",680.525,97.985,1.045.488,1.118.504,,Bursa MH,"90,74%","8,47%",472.801,44.111,521.051,1.121.465,,Bursa MH,"0,00%","0,00%","88,22%","76,69%","82,37%","66,40%","56,81%","32,77%",,Bursa MH,"0,00%","0,00%","3,45%","7,20%","1,88%","8,10%","13,49%","28,80%",,Bursa MH,0,0,8.255,52.834,69.613,831.213,88.980,67.609,,Bursa MH,,1.118.504,,,138.114,20.143,12.318,,Perşembe,"32,43%","34,65%",355.105,379.311,1.094.831,1.881.601
Antalya MH,"13,33%","37,10%",86.117,239.611,645.816,1.262.364,,Antalya MH,"14,33%","44,64%",77.064,240.125,537.946,1.266.714,,Antalya MH,"96,31%","0,00%","62,47%","49,58%","61,35%","8,69%","2,07%","0,00%",,Antalya MH,"1,34%","0,00%","12,01%","11,11%","8,77%","38,15%","43,83%","35,28%",,Antalya MH,26.084,0,5.989,17.118,54.351,457.572,700.273,977,,Antalya MH,,1.262.364,,,63.149,36.308,4.273,,Cuma,"28,70%","39,33%",330.550,453.015,1.151.776,1.952.706
Denizli MH,"99,44%","0,00%",165.618,0,166.554,207.313,,Denizli MH,"99,94%","0,00%",52.393,0,52.423,207.309,,Denizli MH,"100,00%","0,00%","0,00%","99,92%","99,89%","99,97%","99,49%","93,15%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,13.780,0,0,18.272,17.720,26.272,125.371,5.898,,Denizli MH,,207.313,,,17.788,0,4.157,,Cumartesi,"58,03%","17,09%",540.265,159.104,931.045,1.768.778
İkitelli-Defne Transfer Merkezi,"99,88%","0,01%",209.949,20,210.198,355.101,,İkitelli-Defne Transfer Merkezi,"99,88%","0,01%",209.922,20,210.174,355.030,,İkitelli-Defne Transfer Merkezi,"0,00%","99,85%","99,91%","99,97%","99,46%","99,85%","99,90%","0,00%",,İkitelli-Defne Transfer Merkezi,"0,00%","0,01%","0,01%","0,00%","0,00%","0,01%","0,01%","0,00%",,İkitelli-Defne Transfer Merkezi,0,58.109,80.909,32.171,6.398,81.124,96.390,0,,İkitelli-Defne Transfer Merkezi,,355.101,,,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v3,12 ile 41. satır aralığı v3 genel performans tablosudur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,05%","97,38%",,,,,,,,,,,,,,,,,,
Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,17,18,19,20,21,22,23,0,,Seçkin Erol,%,Total Gönderi,,Gece inbound,V1,1,2,,Seçkin Erol,0. gün 1. slot oran,0. gün 2. slot oran ,0. gün 1. slot Adet,0. gün 2. slot adet,hesaplanan_adet,gonderi_adet
YTD,"34,08%","34,15%",918.445,920.288,2.694.589,4.503.772,,YTD,"39,07%","42,82%",713.084,781.687,1.825.310,4.502.402,,YTD,"84,20%","69,53%","68,59%","34,53%","30,31%","35,36%","10,56%","24,67%",,YTD,"6,27%","12,53%","16,22%","36,71%","38,42%","30,67%","48,90%","29,46%",,YTD,"2,12%","9,09%","10,21%","12,74%","12,62%","24,28%","26,33%","2,62%",,YTD,,4.503.772,,,565.045,"3,44%","1,61%",,YTD,"34,08%","34,15%",918.445,920.288,2.694.589,4.503.772
Ankara Kazan SC,"12,53%","33,44%",71.012,189.466,566.643,1.628.357,,Ankara Kazan SC,"21,42%","50,35%",77.682,182.623,362.679,1.627.224,,Ankara Kazan SC,"59,33%","58,02%","2,80%","7,49%","0,05%","4,75%","0,00%","0,00%",,Ankara Kazan SC,"13,27%","13,74%","41,60%","40,37%","45,44%","36,35%","33,71%","13,70%",,Ankara Kazan SC,50.325,236.871,79.839,264.886,283.812,335.188,327.561,49.875,,Ankara Kazan SC,,1.628.357,,,226.267,59.094,18.650,,Pazartesi,"29,44%","36,28%",185.899,229.084,631.466,970.528
Esenyurt SC ,"30,81%","39,78%",217.298,280.575,705.234,910.341,,Esenyurt SC ,"33,38%","47,36%",197.658,280.461,592.158,910.229,,Esenyurt SC ,"95,85%","71,84%","79,48%","28,98%","24,16%","2,73%","0,69%","0,00%",,Esenyurt SC ,"0,96%","15,35%","9,96%","33,11%","49,60%","56,05%","57,00%","44,50%",,Esenyurt SC ,1.071,109.406,224.895,26.992,148.911,82.644,306.561,9.861,,Esenyurt SC ,,910.341,,,126.706,13.993,1.961,,Salı,"29,72%","35,99%",156.228,189.222,525.721,857.650
Gebze SC,"28,29%","49,32%",198.370,345.790,701.181,953.728,,Gebze SC,"33,47%","54,95%",140.563,230.783,420.000,953.668,,Gebze SC,"55,56%","82,29%","67,07%","43,28%","26,85%","18,31%","3,21%","0,00%",,Gebze SC,"35,29%","8,14%","21,34%","40,22%","58,30%","56,90%","65,64%","57,46%",,Gebze SC,4.090,31.390,128.216,252.057,50.545,205.817,250.941,30.672,,Gebze SC,,953.728,,,129.368,9.133,18.007,,Çarşamba,"31,04%","35,17%",139.710,158.311,450.147,750.784
Bursa MH,"67,03%","7,50%",238.099,26.639,355.226,384.893,,Bursa MH,"93,13%","5,66%",164.584,10.002,176.716,384.879,,Bursa MH,"0,00%","0,00%","86,44%","84,07%","82,44%","67,66%","49,79%","40,51%",,Bursa MH,"0,00%","0,00%","7,78%","2,17%","1,40%","6,81%","14,11%","21,11%",,Bursa MH,0,0,3.619,23.313,33.198,275.813,24.850,24.100,,Bursa MH,,384.893,,,60.700,6.215,3.194,,Perşembe,"36,05%","33,73%",132.822,124.270,368.448,635.482
Antalya MH,"21,97%","35,31%",48.408,77.813,220.370,418.909,,Antalya MH,"23,11%","42,41%",42.409,77.813,183.483,418.909,,Antalya MH,"96,31%","0,00%","62,47%","0,00%","52,63%","5,78%","2,02%","0,00%",,Antalya MH,"1,34%","0,00%","12,01%","0,00%","12,51%","44,35%","46,18%","0,00%",,Antalya MH,26.084,0,5.989,0,34.151,144.926,207.759,0,,Antalya MH,,418.909,,,4.216,4.216,0,,Cuma,"31,01%","39,00%",127.328,160.115,410.539,706.784
Denizli MH,"99,26%","0,00%",80.465,0,81.068,98.423,,Denizli MH,"99,96%","0,00%",25.418,0,25.429,98.421,,Denizli MH,"100,00%","0,00%","0,00%","99,92%","99,89%","99,97%","98,88%","94,81%",,Denizli MH,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,Denizli MH,13.780,0,0,6.692,17.720,7.195,49.438,3.598,,Denizli MH,,98.423,,,17.788,0,1.560,,Cumartesi,"57,24%","19,23%",176.458,59.286,308.268,582.544
